name,player_id,team_id,season_id,player_id,season_id,Pos,Class,height,weight,wingspan,vertical,IS,OS,Rng,Fin,Reb,IDef,PDef,IQ,Pass,Hnd,Drv,Str,Spd,Sta,SI,POT,Stars,Primary_Position,adj_OEPM,adj_DEPM,adj_EPM,adj_OEPM_scaled,adj_DEPM_scaled,adj_EPM_scaled
Rick Scott,200899,810,2044,200899,2044,SG sf pf c ,SR,76.5,205,79.25,31.0,12,9,12,12,7,5,12,12,4,7,12,10,11,8,133,10,2,SG,-2.18387999911249,0.105092629080863,-2.07878737003162,-3.54818345752051,0.219069457354093,-3.32911400016642
Frank Shelton,204501,392,2044,204501,2044,C PF ,JR,80.5,240,84.0,29.5,0,7,6,5,9,6,7,11,6,9,7,6,9,11,99,7,0,C,-0.975193747453567,-1.43096801266962,-2.40616176012319,-1.5333034760051,-1.79624210462255,-3.32954558062764
Albert Dougherty,206222,32,2044,206222,2044,PG sg ,RS FR,72.5,195,78.25,34.5,7,13,10,10,8,4,6,8,14,13,9,10,14,4,130,11,2,PG,1.29123317464862,-4.31098888676144,-3.01975571211282,2.24483020313926,-5.57482949143101,-3.32999928829176
Ricky Edwards,210699,865,2044,210699,2044,C pg sg pf ,FR,75.0,205,78.25,33.0,9,10,9,12,9,8,9,13,7,12,10,9,14,8,139,12,4,C,-1.15115329822428,-1.20994594328728,-2.36109924151156,-1.82662804713987,-1.50626114959292,-3.33288919673279
Louis Black,211749,26,2045,211749,2045,SG pg sf ,RS FR,73.0,185,73.0,28.0,6,12,11,5,4,7,13,12,8,7,8,10,15,7,125,10,2,SG,-0.6573335879577,-1.83840426061521,-2.49573784857291,-1.00343059012549,-2.33079846192715,-3.33422905205264
Booker Perkins,223526,390,2046,223526,2046,SG SF ,SR,76.0,180,80.0,29.5,6,14,7,16,5,8,6,16,8,11,10,4,17,6,134,11,2,SG,-1.53667741382862,-0.722120200298452,-2.25879761412707,-2.46929674785231,-0.86623377479157,-3.33553052264388
Mike Gallo,209946,147,2045,209946,2045,SG PG ,JR,74.5,200,75.25,27.5,7,14,10,13,5,6,11,6,12,13,14,10,14,14,149,12,2,SG,-0.547062302320421,-1.98190277777699,-2.52896508009742,-0.819608356968142,-2.51906851644342,-3.33867687341156
Greg Goodson,209890,446,2046,209890,2046,SG pg ,SR,70.5,190,73.0,34.0,6,11,15,17,8,5,9,12,7,9,8,9,13,10,139,10,2,SG,-1.8824328536985,-0.286164510378815,-2.16859736407732,-3.04567106611541,-0.294259909617005,-3.33993097573241
Derek Glick,212805,25,2045,212805,2045,PG C pf ,RS FR,82.5,230,87.0,27.5,12,12,15,10,14,7,8,10,13,13,12,11,12,7,156,12,4,PG,-1.8118054713879,-0.37620259366904,-2.18800806505694,-2.92793521980363,-0.412389874893781,-3.34032509469741
Zack Bader,212379,764,2046,212379,2046,PF SF c ,RS SO,79.5,225,83.25,25.5,9,13,9,13,9,11,9,15,12,13,8,14,13,10,158,13,4,PF,-1.2382017427229,-1.10504354869534,-2.34324529141825,-1.97173780411908,-1.36862920788829,-3.34036701200737
Leonard Haines,207675,939,2044,207675,2044,SF pg pf ,SO,76.5,205,84.0,33.0,7,11,8,10,8,5,13,6,10,12,13,10,5,7,125,10,2,SF,-1.16865989870375,-1.19347032540156,-2.36213022410531,-1.85581155013915,-1.48464513892685,-3.34045668906599
Thomas McNeill,219960,607,2046,219960,2046,SG pg ,FR,72.0,190,78.25,31.5,0,9,6,9,1,2,2,8,6,9,6,2,13,6,79,9,0,SG,-0.868585401469386,-1.57474122850015,-2.44332662996954,-1.35558736324947,-1.9848725637922,-3.34045992704167
Reginald Miller,202795,180,2044,202795,2044,PF pg sg sf ,JR,75.5,210,79.0,28.5,12,13,12,13,7,7,9,19,12,7,13,13,11,8,156,12,4,PF,-0.991205084854557,-1.41935515614242,-2.41056024099698,-1.55999437545255,-1.78100603685886,-3.34100041231141
Jimmie Connell,212704,611,2045,212704,2045,SF sg pf ,SO,77.0,210,78.25,35.5,10,10,8,10,4,6,7,14,6,15,6,9,16,10,131,11,2,SF,-0.313215652995503,-2.28128991353666,-2.59450556653216,-0.429785992543504,-2.9118644385601,-3.3416504311036
Rashaad Edwards,203447,733,2045,203447,2045,C ,SR,80.5,245,83.25,29.0,15,4,9,6,9,9,5,7,7,4,10,6,10,12,113,9,0,C,-1.14580261215261,-1.22465498357004,-2.37045759572266,-1.81770845345841,-1.5255594104439,-3.3432678639023
Rasheed Bell,209584,758,2046,209584,2046,PG SG sf ,SR,75.5,190,78.0,41.0,6,14,10,12,4,5,4,14,14,11,9,6,16,7,132,11,2,PG,-0.067829666171854,-2.59473812979437,-2.66256779596622,-0.0207275525084807,-3.32310849829021,-3.34383605079869
Ellis Butler,217522,726,2044,217522,2044,PF ,JR,78.5,200,83.0,26.0,10,10,13,10,9,7,5,7,5,7,11,10,7,10,121,11,2,PF,-1.1829073494348,-1.18030944440996,-2.36321679384476,-1.87956205050781,-1.46737806306587,-3.34694011357368
Wyatt Cummins,202593,989,2044,202593,2044,PF c ,RS SO,80.5,230,85.0,31.0,10,6,10,6,8,7,8,11,3,4,4,7,14,10,108,11,2,PF,-1.16948949867698,-1.19878362449519,-2.36827312317217,-1.85719449329452,-1.49161618733769,-3.34881068063221
Jackson Ransom,204876,731,2046,204876,2046,SG pg ,RS SR,71.0,175,75.25,33.0,4,13,15,16,8,6,15,8,7,11,14,10,8,10,145,11,2,PG,-2.84782960552375,0.933631762406617,-1.91419784311713,-4.65498745140809,1.30611280027748,-3.34887465113061
Bob Griffin,206232,713,2044,206232,2044,SF PG ,RS FR,76.5,205,78.0,29.0,7,15,14,7,6,8,8,13,14,13,9,14,12,9,149,11,3,SF,-0.48366796577217,-2.07029474320669,-2.55396270897886,-0.713929997942207,-2.63503877508718,-3.34896877302938
Shi Yang,215218,408,2045,215218,2045,PF sg ,SR,77.5,230,80.0,31.5,13,9,7,6,11,10,8,16,6,9,5,9,12,9,130,11,2,PF,-2.99794427077176,1.12401935356027,-1.87392491721148,-4.90522859837652,1.55590131987108,-3.34932727850544
Leo McDonald,211573,933,2044,211573,2044,PF pg sg c ,FR,78.5,210,80.0,30.0,7,4,9,8,7,6,4,7,7,9,7,4,15,7,101,11,2,PF,0.132534025631515,-2.85434250920575,-2.72180848357424,0.313278721727735,-3.66370944407795,-3.35043072235021
Norman Rea,210407,258,2046,210407,2046,SF SG pf ,JR,75.0,215,79.0,24.5,5,11,9,5,5,7,10,11,6,9,5,4,13,12,112,8,1,SF,-2.01583087332634,-0.125176600449767,-2.14100747377611,-3.26804556483501,-0.0830437717900946,-3.3510893366251
Curtis Brock,199856,125,2045,199856,2045,SG PG ,RS SR,73.0,175,78.0,29.5,11,15,16,14,5,9,9,12,13,11,11,13,11,10,160,11,2,SG,0.89289893604271,-3.82146387863174,-2.92856494258903,1.5808070273832,-4.93257268076484,-3.35176565338164
Scott Goode,206184,710,2045,206184,2045,PF C ,JR,80.5,210,85.0,28.5,1,7,8,9,4,8,6,12,5,1,2,6,5,6,80,6,0,PF,-1.97905210323572,-0.172698140703899,-2.15175024393962,-3.20673535509395,-0.145392032603516,-3.35212738769747
Truman Hirch,207870,183,2044,207870,2044,SG PF sf c ,SO,76.5,195,78.0,25.0,5,9,11,10,10,8,10,11,8,8,10,7,11,14,132,11,3,SG,-0.448175808105204,-2.11804303514263,-2.56621884324783,-0.654764571111375,-2.69768453410713,-3.3524491052185
Paul Smith,231378,13,2046,231378,2046,PF c ,RS FR,80.5,240,87.0,26.5,11,11,11,8,7,7,5,7,10,6,6,9,12,9,119,12,3,PF,-0.723171044643521,-1.76933188035763,-2.49250292500116,-1.11318163042075,-2.24017549902922,-3.35335712944997
Dontrell Hannah,222215,822,2046,222215,2046,SF SG pg pf ,FR,69.5,170,73.0,31.5,6,12,6,5,7,4,6,11,5,7,9,6,13,8,105,10,2,SF,-1.19864200360348,-1.1654623548985,-2.36410435850198,-1.905791719007,-1.44789868162683,-3.35369040063383
Tory Stout,198151,622,2044,198151,2044,SG pg ,SR,73.5,175,81.25,43.0,8,12,9,9,8,3,6,10,12,10,10,10,13,7,127,11,2,SG,-1.26736867347094,-1.08012303474787,-2.34749170821881,-2.02035907767606,-1.3359334935892,-3.35629257126527
Lucius Best,207776,548,2044,207776,2044,SG PG ,SO,74.5,190,75.0,31.5,6,7,12,10,9,4,6,8,11,5,9,6,14,5,112,10,2,SG,-0.703906013850838,-1.79653225992103,-2.50043827377187,-1.08106682408935,-2.27586239701639,-3.35692922110574
Chris Lovato,219619,292,2046,219619,2046,SF pg sg pf ,FR,74.5,185,76.0,30.0,7,10,7,14,9,7,12,7,9,8,7,7,5,10,119,11,3,SF,-1.21644159788882,-1.14605045512634,-2.36249205301516,-1.93546364268067,-1.42243026912576,-3.35789391180643
Jamie Christensen,212934,450,2046,212934,2046,PF sg sf ,JR,74.5,200,77.0,28.0,11,9,13,12,13,5,11,5,13,11,7,11,7,8,136,11,2,PF,0.0201265815434375,-2.71898994276807,-2.69886336122463,0.12589551243291,-3.4861268769117,-3.36023136447879
George Chandler,223542,901,2045,223542,2045,PF C ,JR,79.5,235,83.0,29.0,12,13,12,6,13,6,8,14,8,6,6,13,16,8,141,11,2,PF,-0.237945895721983,-2.39282293628706,-2.63076883200904,-0.304311307168545,-3.05819576440862,-3.36250707157717
Alvin Lombardo,198436,171,2044,198436,2044,PG sg ,RS JR,72.5,150,75.25,25.5,6,15,16,11,5,6,11,14,13,15,12,12,9,16,161,12,3,PG,0.413531498408588,-3.22147238683749,-2.8079408884289,0.781701508847116,-4.14538384353078,-3.36368233468366
John Dobbins,206982,955,2046,206982,2046,C PF sf ,RS JR,76.0,210,84.25,28.0,11,9,13,11,10,4,8,12,8,6,8,11,7,19,137,10,2,C,-0.570960125119576,-1.97084663892782,-2.5418067640474,-0.859446027574332,-2.5045628622733,-3.36400888984763
Marco Rocha,210385,748,2046,210385,2046,PF SG sf c ,RS SO,75.5,205,80.0,30.5,11,12,9,12,9,7,12,13,6,14,16,11,12,14,158,12,4,PF,-0.621759034831083,-1.90646979994827,-2.52822883477935,-0.944127810063415,-2.42010044953213,-3.36422825959555
Terrell Breaux,211740,527,2046,211740,2046,PG SG sf ,JR,71.5,175,75.0,27.5,6,16,8,13,3,5,6,7,16,13,11,6,16,14,140,11,2,PG,-1.96340151339689,-0.202741731045874,-2.16614324444277,-3.18064582183262,-0.184809223132187,-3.36545504496481
Sean Bagley,201924,332,2044,201924,2044,PF C sf ,JR,79.0,240,83.25,26.5,8,15,7,8,9,6,9,9,6,12,10,16,13,7,135,11,3,PF,-2.04890398665377,-0.0964666553799214,-2.14537064203369,-3.32317844475183,-0.0453763238584569,-3.36855476861029
Darren Brenner,217910,329,2046,217910,2046,SG pg ,SO,72.5,195,78.0,35.0,4,12,6,9,2,5,7,14,9,8,7,2,9,4,98,10,1,SG,-1.35834726981694,-0.975269339019006,-2.33361660883595,-2.17202039778484,-1.19836544479294,-3.37038584257778
Stan Vitale,211919,243,2044,211919,2044,PF SF C ,FR,78.5,220,80.0,29.5,12,6,8,9,7,9,8,14,5,6,7,5,6,7,109,10,2,PF,-0.309322195069287,-2.30870418145336,-2.61802637652265,-0.423295598180501,-2.94783195806681,-3.37112755624731
Miguel Dominquez,208649,840,2046,208649,2046,C PF ,SR,74.5,170,78.0,28.5,13,10,17,6,10,10,12,11,8,12,6,7,7,14,143,10,2,C,-0.74554063020867,-1.75586808745965,-2.50140871766832,-1.15047172955785,-2.22251100274706,-3.37298273230492
Kevin Gray,215837,121,2046,215837,2046,PG sf ,RS FR,75.0,210,78.0,32.0,7,7,9,9,5,5,13,11,10,10,10,11,11,10,128,10,2,PG,-2.91831204015897,1.00339737746071,-1.91491466269826,-4.772481669945,1.39764528722845,-3.37483638271656
Chad Rice,201339,445,2046,201339,2046,C ,RS SR,81.5,240,82.0,29.0,8,11,11,15,13,7,5,13,13,13,6,13,11,10,149,11,3,C,-1.79656285173862,-0.422249920622058,-2.21881277236068,-2.90252577284828,-0.47280396785614,-3.37532974070442
Randy McCullough,199839,365,2044,199839,2044,C pf ,SR,80.5,245,80.0,38.0,10,11,13,7,14,8,7,6,5,12,11,14,4,9,131,11,2,C,-0.663005844941991,-1.86325472192751,-2.5262605668695,-1.0128862425183,-2.36340226716889,-3.37628850968719
Irwin Durant,205522,992,2044,205522,2044,SF SG pg ,JR,75.5,210,78.0,29.5,5,15,12,11,11,8,11,6,5,11,11,14,14,8,142,10,2,SF,-1.68381851962442,-0.567300532816799,-2.25111905244122,-2.71458097121391,-0.66311037105564,-3.37769134226955
Sandy Owen +3,213288,483,2046,213288,2046,PF pg sg c ,RS SO,75.0,190,78.0,30.5,11,7,14,11,14,7,12,6,14,11,12,6,11,6,142,11,3,PF,-1.4624046995934,-0.84951800748689,-2.31192270708029,-2.3454841332222,-1.0333796978228,-3.378863831045
Gorman Pillar,210295,724,2045,210295,2045,SG SF pg ,SO,72.5,185,77.0,32.0,7,12,7,9,8,4,13,6,12,9,5,10,14,14,130,11,2,SG,-0.792276465626266,-1.70126314147119,-2.49353960709746,-1.22838036719899,-2.1508693136102,-3.37924968080919
Darren Lewis,216481,377,2045,216481,2045,SG SF pg ,FR,70.5,185,77.0,28.0,5,8,6,10,7,6,11,8,6,7,9,6,15,10,114,11,2,SG,-2.00994393526122,-0.155184245606762,-2.16512818086798,-3.25823203908045,-0.122413802236072,-3.38064584131653
Odis Reynolds,202326,51,2044,202326,2044,SF sg ,JR,76.0,210,82.0,29.0,7,12,6,10,6,6,8,11,7,9,11,11,5,11,120,10,1,SF,-0.617080309700935,-1.9250109132076,-2.54209122290853,-0.936328375271458,-2.44442639012837,-3.38075476539983
Dwight Butler,218401,704,2046,218401,2046,PF SF ,SO,79.0,230,80.25,28.5,7,13,12,6,7,3,4,8,10,8,10,8,9,10,115,10,2,PF,0.527182899042687,-3.37894158156572,-2.85175868252303,0.97115839370416,-4.35198342701423,-3.38082503331007
Sam Hewitt,202760,950,2045,202760,2045,SF PG ,RS JR,73.0,180,78.0,32.0,6,9,5,14,6,5,6,15,10,13,16,8,17,14,144,10,3,SF,-1.03359168121849,-1.39592844871053,-2.42952012992901,-1.63065283159122,-1.75027019670821,-3.38092302829943
José Cárdenas,224298,958,2044,224298,2044,SF ,FR,75.5,195,75.0,33.5,8,11,10,10,8,4,6,8,6,9,9,7,7,6,109,11,2,SF,-0.428447469773383,-2.16604739279973,-2.59449486257311,-0.621877431112229,-2.76066625135325,-3.38254368246548
Patrik Liška,226586,760,2046,226586,2046,PG ,RS SO,74.0,220,77.25,34.5,5,7,8,12,6,7,11,14,13,10,5,7,15,11,131,12,3,PG,0.470222421821874,-3.30946121658343,-2.83923879476156,0.876205278177064,-4.26082518815746,-3.3846199099804
Rodger Wells,216307,46,2046,216307,2046,PF C pg ,SO,81.5,220,87.25,28.0,16,8,9,9,7,5,8,12,13,13,9,13,14,12,148,13,4,PF,0.786285577333226,-3.71138663283376,-2.92510105550054,1.40308255841449,-4.7881513342779,-3.38506877586341
Randy Nichols,213914,897,2044,213914,2044,SF pg pf ,FR,71.5,170,77.0,23.5,7,10,5,9,7,9,10,13,10,6,10,7,10,6,119,10,2,SF,-0.837914825566079,-1.64857218526775,-2.48648701083382,-1.30445951321865,-2.08173877907128,-3.38619829228994
Dick Whaley,202323,634,2044,202323,2044,PG SF pf ,JR,77.0,200,82.25,28.5,7,13,12,9,12,12,9,9,12,14,12,12,11,12,156,12,3,PG,-1.35322975987326,-0.995235291675048,-2.34846505154831,-2.16348950870873,-1.22456077467766,-3.38805028338639
Julius Evans,197456,304,2044,197456,2044,PG sg ,RS JR,71.0,180,78.0,31.0,5,12,10,8,11,8,13,15,14,12,14,10,17,15,164,12,3,PG,-0.835525165170529,-1.65447781393229,-2.49000297910282,-1.30047594933927,-2.08948696387917,-3.38996291321844
D`Jonte Snell,207398,3,2044,207398,2044,C sf pf ,RS FR,80.0,235,85.25,35.0,13,9,11,9,6,8,6,15,10,10,6,8,12,8,131,12,3,C,-1.39959784042855,-0.938002740673366,-2.33760058110191,-2.24078509899439,-1.14947166776346,-3.39025676675784
Andrew Clinton,208605,570,2046,208605,2046,SG sf pf ,SR,73.5,190,77.0,30.0,7,11,11,10,6,7,9,5,6,7,11,5,16,16,127,9,1,SG,-1.54477090836557,-0.754667050628187,-2.29943795899376,-2.48278860324541,-0.908935242424182,-3.39172384566959
Garrett Giordano,197684,891,2044,197684,2044,SF sg ,SR,75.5,200,79.0,26.0,9,17,5,10,8,5,13,8,13,6,11,16,10,13,144,10,1,SF,-2.1153885529175,-0.0305940402570284,-2.14598259317453,-3.43400821671347,0.0410485471827788,-3.39295966953069
Tyrone Whiteside,217777,234,2045,217777,2045,SF PF C ,FR,77.5,220,85.0,31.5,10,8,9,7,7,6,10,14,10,8,5,7,7,6,114,12,3,SF,-0.544302101204218,-2.0270035555363,-2.57130565674052,-0.815007101707432,-2.57824073686363,-3.39324783857106
Danny Deloach,202496,116,2046,202496,2046,PG SG ,RS SR,75.0,190,79.0,26.0,12,16,18,10,8,12,11,9,15,11,11,10,9,16,168,12,3,PG,-0.0240762080241624,-2.68808086296179,-2.71215707098596,0.0522094622237212,-3.44557416420587,-3.39336470198215
Kiké Duenas,205047,858,2045,205047,2045,SF SG pf ,RS JR,78.5,220,83.0,27.0,10,14,13,11,4,9,10,10,11,11,9,12,14,6,144,12,3,SF,-1.00224643842186,-1.446159539031,-2.44840597745286,-1.57840031184924,-1.81617338720867,-3.39457369905791
Frankie Lawrence,208846,925,2045,208846,2045,PG sg ,JR,74.5,195,79.0,30.0,5,14,5,11,4,7,5,12,14,12,5,11,9,14,128,11,2,PG,0.416683875921404,-3.24918442518561,-2.8325005492642,0.786956522160981,-4.18174203784352,-3.39478551568254
Arnie Henning,210792,429,2044,210792,2044,SF PF c ,FR,76.5,205,83.0,30.0,8,11,9,6,6,9,6,4,9,7,7,10,10,8,110,11,2,SF,-1.53016910543325,-0.776041110284933,-2.30621021571818,-2.45844739775722,-0.936978008693833,-3.39542540645106
Marc Barnes,202004,305,2044,202004,2044,C sf pf ,RS SO,77.5,195,84.25,32.5,9,11,12,6,10,5,10,8,10,6,5,12,11,5,120,11,2,C,-1.92487009027838,-0.274700896437855,-2.19957098671623,-3.11641393949405,-0.279219648126466,-3.39563358762052
Emilio Fajardo,204561,106,2044,204561,2044,PG sg sf ,JR,73.0,210,75.25,34.5,6,11,12,9,7,6,14,7,9,12,8,9,18,11,139,11,3,PG,-3.08132936743377,1.19236267523891,-1.88896669219486,-5.04423155451209,1.64556775791345,-3.39866379659864
Svend Árnason,211514,248,2044,211514,2044,PF ,SR,78.0,200,81.25,27.5,10,8,8,5,8,8,10,8,9,6,10,9,8,10,117,11,2,PF,-1.24108245210101,-1.14663320650128,-2.38771565860229,-1.97653994665239,-1.42319483892968,-3.39973478558207
Cal Noble,207824,301,2046,207824,2046,PF sg sf c ,SR,76.5,195,82.0,28.0,10,12,6,10,10,7,6,14,8,8,8,5,10,11,125,10,2,PF,-1.95673549302715,-0.23752396069927,-2.19425945372642,-3.16953356587625,-0.230443508437442,-3.3999770743137
Mark Hobbs,209983,657,2044,209983,2044,PF SF pg sg ,SO,73.5,190,75.0,28.0,9,11,6,11,12,7,11,14,10,12,8,11,6,8,136,11,3,SF,-0.747355690944361,-1.77450757961626,-2.52186327056062,-1.15349743580425,-2.24696601645653,-3.40046345226078
Stephen Burke,213994,728,2045,213994,2045,SF pg pf ,SO,75.5,215,79.0,27.5,11,11,6,15,12,8,11,6,10,14,15,10,13,9,151,12,4,SF,-2.39917805919342,0.323964496287187,-2.07521356290623,-3.90708532367543,0.50622934712879,-3.40085597654664
Chet Stewart,213102,415,2045,213102,2045,SF PF pg c ,SO,77.0,185,79.25,26.0,6,12,7,12,10,9,9,5,9,11,6,12,8,10,126,11,2,SF,-1.45933721775344,-0.870768194577227,-2.33010541233067,-2.34037064099499,-1.06125994328532,-3.40163058428031
Sidney Addison,201816,330,2044,201816,2044,C SF pf ,JR,79.0,210,79.0,28.0,14,10,13,12,9,11,6,16,6,10,11,10,16,13,157,12,3,C,-0.150733088106365,-2.5339282402482,-2.68466132835457,-0.158927556873311,-3.24332592320564,-3.40225348007895
James Kenner,209119,85,2044,209119,2044,SG pg sf ,SO,73.0,215,77.0,30.0,10,9,9,13,9,6,7,4,8,9,12,6,13,13,128,11,2,SG,-1.54567195587982,-0.762197833316139,-2.30786978919596,-2.48429064945166,-0.918815629310775,-3.40310627876244
Corey Capps,216822,535,2046,216822,2046,SF sg ,RS FR,76.0,200,82.0,29.5,7,14,9,10,7,5,10,13,9,8,14,3,11,13,133,13,3,SF,-0.826529859766287,-1.67614217389477,-2.50267203366105,-1.2854807752304,-2.11791060414993,-3.40339137938033
Alton Vogt,210640,923,2046,210640,2046,PF SF c ,JR,75.5,185,83.25,29.5,11,14,6,5,8,10,12,6,7,13,10,6,8,11,127,10,2,PF,-0.798359332991108,-1.71268089681271,-2.51104022980382,-1.23852050709618,-2.16584940861827,-3.40436991571445
Javon Poole,221595,992,2046,221595,2046,PF C sf ,FR,81.0,205,85.0,27.0,5,12,6,5,7,7,4,15,7,9,3,7,5,10,102,11,2,PF,-1.14260449205592,-1.27865903169963,-2.42126352375555,-1.81237718725722,-1.59641272158991,-3.40878990884713
Rex Whyte ,206749,21,2046,206749,2046,PG SF PF ,SR,76.5,200,78.0,28.5,13,17,16,18,8,12,7,7,13,11,12,11,15,6,166,11,3,PF,-1.6440286622286,-0.644591351502162,-2.28862001373076,-2.64825127893507,-0.764515925170837,-3.41276720410591
Richard Palmer,218106,842,2045,218106,2045,PF PG sf c ,SR,76.0,225,82.0,41.0,11,9,14,5,11,10,7,12,14,10,14,10,9,7,143,12,3,PG,-0.991271438017197,-1.47413050797029,-2.46540194598748,-1.56010498617467,-1.85287129845701,-3.41297628463168
Wendell Bankhead,204531,701,2045,204531,2045,SF pg ,SR,70.0,150,75.0,28.5,8,17,11,10,6,4,6,11,9,15,16,15,10,14,152,11,2,SF,-0.778283679838634,-1.74502103474426,-2.52330471458289,-1.205054393291,-2.20827966958447,-3.41333406287547
Tommy Wilcox,199932,266,2045,199932,2045,PG sf ,RS SR,76.0,200,79.0,29.0,11,7,18,13,9,11,11,8,15,12,15,6,11,7,154,11,2,PG,-1.46253502206098,-0.875631001774825,-2.3381660238358,-2.34570138077565,-1.06763994632857,-3.41334132710422
Cameron Cobb,218222,103,2046,218222,2046,SF pf ,RS FR,77.5,210,80.0,29.0,10,14,5,10,9,9,6,13,9,13,13,8,9,8,136,12,3,SF,-0.30367394019446,-2.3495384476955,-2.65321238788996,-0.413879957304165,-3.0014065153765,-3.41528647268066
Derek MacDonald,216722,743,2045,216722,2045,SF pf ,RS JR,74.5,200,78.25,28.0,10,13,8,15,9,9,12,9,13,7,12,13,5,10,145,12,3,SF,-0.576651265849268,-2.0044255159335,-2.58107678178277,-0.868933159170731,-2.54861834890476,-3.41755150807549
Alessandro Ferrara,211538,958,2044,211538,2044,PG SG ,SR,71.5,180,74.25,32.5,9,11,15,17,9,5,9,5,14,17,6,10,13,14,154,11,3,PG,-0.528447469773383,-2.06604739279973,-2.59449486257312,-0.788577431112229,-2.62946625135325,-3.41804368246548
Anderson Latham,211079,635,2045,211079,2045,SF PF C ,SO,81.5,220,83.0,27.5,9,9,13,13,15,15,11,10,8,12,6,9,11,12,153,13,5,SF,-1.64138207327019,-0.65209850927664,-2.29348058254683,-2.6438394151414,-0.774365316170952,-3.41820473131235
Jerry Sakei,220958,859,2046,220958,2046,SG SF ,FR,76.5,190,83.0,25.0,9,10,8,7,5,4,10,6,6,7,5,5,14,7,103,10,2,SG,-1.3284918370378,-1.05027574080372,-2.37876757784153,-2.12225139134202,-1.29677384393449,-3.4190252352765
Laurence Richards,202367,288,2044,202367,2044,C PF ,JR,79.0,220,81.0,32.5,10,4,12,5,8,12,10,8,6,13,7,6,6,9,116,10,1,C,-1.14532921133958,-1.28314341194001,-2.42847262327959,-1.81691929430308,-1.60229622846529,-3.41921552276837
Sam Dunn,199451,619,2045,199451,2045,SF pf ,RS SR,75.5,210,81.0,28.0,8,16,17,10,7,10,10,8,11,11,12,16,8,8,152,10,2,SF,-1.3187782326438,-1.06321595236219,-2.38199418500599,-2.10605881281721,-1.3137514014992,-3.41981021431641
Zachary Scales,209003,613,2045,209003,2045,PG ,RS SO,71.5,170,74.0,29.0,11,13,15,12,7,4,9,14,15,14,9,12,12,8,155,11,3,PG,-0.568308297563343,-2.01733189840063,-2.58564019596397,-0.855025431038092,-2.56555152270162,-3.42057695373971
Chico Mejias,206203,671,2044,206203,2044,C PF pg sg ,SO,80.0,210,83.25,34.0,8,11,12,9,6,12,12,6,12,9,9,11,14,6,137,11,3,C,-1.23450699696159,-1.1714067698371,-2.40591376679869,-1.96557866293498,-1.45569775402627,-3.42127641696125
J.B. Roach,204379,748,2045,204379,2045,PG sf pf ,RS JR,74.5,205,78.0,33.0,10,13,10,6,9,8,9,10,14,15,5,11,10,13,143,10,2,PG,-1.13647102723808,-1.29673065821911,-2.43320168545719,-1.80215270140588,-1.62012269558347,-3.42227539698935
Pat Francis,218908,336,2045,218908,2045,C SF PF ,FR,78.0,195,86.0,35.0,5,14,9,11,7,5,9,6,4,7,8,13,6,10,114,11,2,C,-1.52579468279782,-0.802460736112854,-2.32825541891068,-2.45115523522397,-0.971640557780065,-3.42279579300403
Deion Evans,206638,874,2046,206638,2046,SF sg ,SR,72.0,190,78.0,26.0,6,16,13,8,11,6,10,7,11,10,13,6,6,16,139,10,2,SF,-1.18089905020655,-1.24113962701962,-2.42203867722616,-1.87621421569431,-1.54718726264974,-3.42340147834405
Sal Moore,205471,46,2045,205471,2045,SF PF c ,RS JR,78.5,225,80.25,37.0,13,11,11,13,11,6,11,10,7,5,12,12,11,11,144,11,2,SF,-2.18562480096467,0.0348272562221892,-2.15079754474248,-3.55109204220811,0.126881288163512,-3.42421075404459
Stan Snowden,209701,823,2045,209701,2045,SG pf c ,JR,73.0,205,74.0,31.0,9,15,12,12,10,8,4,10,8,8,8,14,13,11,142,11,3,SG,-0.755964270765549,-1.78234098424881,-2.53830525501436,-1.16784793836617,-2.25724344333444,-3.42509138170061
Sal Carson ,202475,137,2046,202475,2046,PG SG sf ,RS SR,73.5,205,79.0,25.5,12,16,9,10,11,7,13,8,10,16,7,9,15,8,151,11,2,PG,-2.27279326203048,0.14478294300396,-2.12801031902652,-3.69640186680481,0.271143149221195,-3.42525871758362
Ian Rice,206508,88,2045,206508,2045,PG pf c ,RS SO,80.5,195,81.0,28.0,6,12,9,9,10,5,11,16,6,12,9,12,14,8,139,11,3,PG,-2.12815751412202,-0.0394919910220723,-2.16764950514409,-3.4552940750414,0.0293744357790411,-3.42591963926236
Hal Hayes,204738,889,2045,204738,2045,SF PG SG ,RS JR,77.5,225,78.0,31.5,10,7,14,15,7,5,10,11,16,8,16,6,17,17,159,12,3,SF,-1.56816902038508,-0.751425339866487,-2.31959436025157,-2.52179325598194,-0.904682117904831,-3.42647537388677
Wendell Ruby,203619,681,2045,203619,2045,SF sg ,SR,72.0,170,74.0,35.5,6,13,11,7,5,7,9,16,8,7,11,12,6,11,129,10,2,SF,-2.11571279175784,-0.057516810967325,-2.17322960272516,-3.43454872286031,0.00572587201086963,-3.42882285084944
Kevin Beck,202311,918,2044,202311,2044,SG ,JR,76.5,210,84.25,30.0,12,8,9,14,10,4,8,6,9,8,4,8,14,13,127,11,2,SG,-1.32535988577961,-1.06204097896817,-2.38740086474778,-2.11703042859462,-1.31220983640624,-3.42924026500086
